state,county,NAME,population,median_age,median_household_income,population_below_poverty,housing_units
48,001,"Anderson County, Texas",58439,39.7,62068,8373,20648
48,003,"Andrews County, Texas",18610,33.0,72242,2872,7153
48,005,"Angelina County, Texas",87275,37.8,60960,13351,37023
48,007,"Aransas County, Texas",24876,49.9,69466,3513,15999
48,009,"Archer County, Texas",8867,42.8,72159,808,3966
48,011,"Armstrong County, Texas",1822,43.6,72750,92,886
48,013,"Atascosa County, Texas",51008,36.1,70770,7970,19214
48,015,"Austin County, Texas",31170,41.1,75789,3689,14319
48,017,"Bailey County, Texas",6913,33.3,61420,811,2740
48,019,"Bandera County, Texas",22021,53.5,75813,2918,11585
48,021,"Bastrop County, Texas",106582,37.0,86226,10513,39706
48,023,"Baylor County, Texas",3485,48.1,45370,744,2190
48,025,"Bee County, Texas",31083,35.7,57673,4236,10650
48,027,"Bell County, Texas",386897,32.3,68865,54547,155018
48,029,"Bexar County, Texas",2067341,34.8,72341,296387,820780
48,031,"Blanco County, Texas",12446,51.5,92425,1038,6129
48,033,"Borden County, Texas",713,32.2,65625,53,368
48,035,"Bosque County, Texas",18687,46.2,68914,1700,9348
48,037,"Bowie County, Texas",92115,38.5,59803,13997,39948
48,039,"Brazoria County, Texas",391255,36.7,97993,27893,150321
48,041,"Brazos County, Texas",242311,26.8,58553,54295,100826
48,043,"Brewster County, Texas",9503,40.9,56212,808,5917
48,045,"Briscoe County, Texas",1301,49.2,45417,217,849
48,047,"Brooks County, Texas",6943,38.5,47764,1278,3884
48,049,"Brown County, Texas",38347,41.8,57470,5600,19246
48,051,"Burleson County, Texas",18857,44.1,70000,2367,9579
48,053,"Burnet County, Texas",52652,44.1,78732,4099,25555
48,055,"Caldwell County, Texas",48669,38.4,69758,6133,17582
48,057,"Calhoun County, Texas",19868,41.4,79959,1503,10833
48,059,"Callahan County, Texas",14241,44.1,72436,1350,6539
48,061,"Cameron County, Texas",426120,32.7,52601,104877,159679
48,063,"Camp County, Texas",12798,38.2,58843,2535,5824
48,065,"Carson County, Texas",5801,41.0,85231,425,2810
48,067,"Cass County, Texas",28568,44.4,53813,4935,13993
48,069,"Castro County, Texas",7344,34.5,56776,1390,3024
48,071,"Chambers County, Texas",51498,35.1,109804,6054,18937
48,073,"Cherokee County, Texas",51886,38.2,61261,8839,21053
48,075,"Childress County, Texas",6743,35.9,58654,815,2772
48,077,"Clay County, Texas",10495,47.5,80114,870,5163
48,079,"Cochran County, Texas",2550,37.1,45313,678,1268
48,081,"Coke County, Texas",3353,47.4,43333,735,2144
48,083,"Coleman County, Texas",7833,48.7,49159,1526,4899
48,085,"Collin County, Texas",1163337,37.3,121600,71971,437396
48,087,"Collingsworth County, Texas",2588,40.4,61280,550,1487
48,089,"Colorado County, Texas",21006,43.3,66377,2199,10102
48,091,"Comal County, Texas",183826,41.8,101889,11813,77961
48,093,"Comanche County, Texas",13950,44.2,59635,2223,6940
48,095,"Concho County, Texas",3328,43.0,65795,281,1414
48,097,"Cooke County, Texas",43046,40.5,73932,5737,17944
48,099,"Coryell County, Texas",84748,32.8,71301,7618,29512
48,101,"Cottle County, Texas",1368,46.4,59063,233,930
48,103,"Crane County, Texas",4610,35.0,62212,485,1840
48,105,"Crockett County, Texas",2822,42.6,81022,258,1729
48,107,"Crosby County, Texas",5041,38.5,52188,991,2659
48,109,"Culberson County, Texas",2195,44.8,58777,424,1097
48,111,"Dallam County, Texas",7298,29.9,71500,833,3052
48,113,"Dallas County, Texas",2621179,34.1,76547,360341,1064965
48,115,"Dawson County, Texas",12134,34.8,54360,2014,4903
48,117,"Deaf Smith County, Texas",18460,31.3,60799,3213,6984
48,119,"Delta County, Texas",5438,40.3,66575,612,2450
48,121,"Denton County, Texas",979561,37.0,111498,68444,376754
48,123,"DeWitt County, Texas",20016,42.0,63730,3203,9238
48,125,"Dickens County, Texas",1747,47.6,49335,307,1151
48,127,"Dimmit County, Texas",8380,35.7,38808,3390,4023
48,129,"Donley County, Texas",3257,40.7,58750,224,1951
48,131,"Duval County, Texas",9742,33.6,49038,3013,4420
48,133,"Eastland County, Texas",18011,43.1,53549,2780,9384
48,135,"Ector County, Texas",164654,31.4,71536,26727,68899
48,137,"Edwards County, Texas",1290,39.0,40313,398,815
48,139,"Ellis County, Texas",213160,36.3,99595,14539,75422
48,141,"El Paso County, Texas",870779,33.6,59806,160597,323571
48,143,"Erath County, Texas",43794,32.0,65115,6687,18694
48,145,"Falls County, Texas",17291,40.6,57247,2250,7450
48,147,"Fannin County, Texas",37326,41.0,72295,4715,14814
48,149,"Fayette County, Texas",25042,48.2,75854,2120,13233
48,151,"Fisher County, Texas",3655,40.5,65533,495,2016
48,153,"Floyd County, Texas",5216,38.3,58462,925,2592
48,155,"Foard County, Texas",991,49.1,61563,52,623
48,157,"Fort Bend County, Texas",893767,37.3,114041,67161,305633
48,159,"Franklin County, Texas",10632,43.2,72360,1227,5121
48,161,"Freestone County, Texas",20049,41.1,59960,2285,9123
48,163,"Frio County, Texas",18582,32.3,66010,3182,6393
48,165,"Gaines County, Texas",22232,29.3,74132,1506,7719
48,167,"Galveston County, Texas",358990,38.8,86105,41318,161868
48,169,"Garza County, Texas",5118,35.4,46314,315,2190
48,171,"Gillespie County, Texas",27524,50.7,76162,2503,14373
48,173,"Glasscock County, Texas",1068,39.5,101250,95,513
48,175,"Goliad County, Texas",7141,44.6,59359,918,3547
48,177,"Gonzales County, Texas",19851,39.3,58672,3091,9020
48,179,"Gray County, Texas",21045,36.9,59614,3036,9952
48,181,"Grayson County, Texas",143337,39.0,72182,15664,62132
48,183,"Gregg County, Texas",125480,35.9,66550,19597,53883
48,185,"Grimes County, Texas",31340,40.1,69803,4044,12349
48,187,"Guadalupe County, Texas",183642,37.6,92375,16914,69700
48,189,"Hale County, Texas",32131,34.4,51897,6194,13392
48,191,"Hall County, Texas",2820,44.3,48459,451,1739
48,193,"Hamilton County, Texas",8406,43.5,58219,1347,4372
48,195,"Hansford County, Texas",5119,35.4,69441,433,2275
48,197,"Hardeman County, Texas",3501,44.4,63333,366,1808
48,199,"Hardin County, Texas",57642,39.4,75808,6902,25100
48,201,"Harris County, Texas",4838303,34.6,74983,777921,1917790
48,203,"Harrison County, Texas",70155,38.8,66103,10574,29756
48,205,"Hartley County, Texas",5215,38.7,75841,358,1814
48,207,"Haskell County, Texas",5421,43.1,60653,865,3081
48,209,"Hays County, Texas",268638,34.1,89097,31591,104675
48,211,"Hemphill County, Texas",3234,45.1,61563,197,1763
48,213,"Henderson County, Texas",84862,43.8,65179,12286,41852
48,215,"Hidalgo County, Texas",891977,30.5,54338,235512,308556
48,217,"Hill County, Texas",37328,41.0,64591,5363,16434
48,219,"Hockley County, Texas",21363,35.9,63140,2719,9233
48,221,"Hood County, Texas",65894,45.9,88160,4978,29066
