state,county,NAME,total_population,median_age,male_population,female_population,white_population,black_population,american_indian_population,asian_population,native_hawaiian_population,other_race_population,two_or_more_races_population,hispanic_population
48,001,"Anderson County, Texas",58439,39.7,35716,22723,32202,10281,797,390,60,167,3100,11442
48,003,"Andrews County, Texas",18610,33.0,9104,9506,7223,292,64,58,0,33,233,10707
48,005,"Angelina County, Texas",87275,37.8,42818,44457,50770,10591,238,825,0,291,4032,20528
48,007,"Aransas County, Texas",24876,49.9,12219,12657,16719,321,124,331,0,29,616,6736
48,009,"Archer County, Texas",8867,42.8,4493,4374,7584,125,32,50,0,6,233,837
48,011,"Armstrong County, Texas",1822,43.6,836,986,1519,11,19,29,0,6,20,218
48,013,"Atascosa County, Texas",51008,36.1,25380,25628,15788,570,201,309,0,128,649,33363
48,015,"Austin County, Texas",31170,41.1,15946,15224,18821,2460,33,256,0,126,813,8661
48,017,"Bailey County, Texas",6913,33.3,3494,3419,2064,43,0,52,0,0,189,4565
48,019,"Bandera County, Texas",22021,53.5,10846,11175,16073,258,85,110,0,178,698,4619
48,021,"Bastrop County, Texas",106582,37.0,53980,52602,47370,6104,137,825,0,474,3670,48002
48,023,"Baylor County, Texas",3485,48.1,1768,1717,2669,43,3,0,17,32,263,458
48,025,"Bee County, Texas",31083,35.7,19540,11543,8608,2255,13,156,0,75,768,19208
48,027,"Bell County, Texas",386897,32.3,192592,194305,164047,83099,525,11339,2321,1586,22267,101713
48,029,"Bexar County, Texas",2067341,34.8,1026235,1041106,541699,152543,2421,65986,2457,9941,58208,1234086
48,031,"Blanco County, Texas",12446,51.5,6078,6368,9394,134,7,12,0,10,573,2316
48,033,"Borden County, Texas",713,32.2,317,396,643,4,0,0,0,0,6,60
48,035,"Bosque County, Texas",18687,46.2,9159,9528,13991,206,26,81,0,159,648,3576
48,037,"Bowie County, Texas",92115,38.5,46327,45788,56074,22755,320,1273,118,174,3463,7938
48,039,"Brazoria County, Texas",391255,36.7,197301,193954,162895,62260,607,28870,115,1439,11412,123657
48,041,"Brazos County, Texas",242311,26.8,122218,120093,128323,24497,179,14123,173,1073,7532,66411
48,043,"Brewster County, Texas",9503,40.9,4751,4752,4876,56,0,177,18,0,378,3998
48,045,"Briscoe County, Texas",1301,49.2,680,621,894,53,1,0,0,10,4,339
48,047,"Brooks County, Texas",6943,38.5,3531,3412,500,40,46,0,19,0,82,6256
48,049,"Brown County, Texas",38347,41.8,19082,19265,26810,1360,48,228,11,185,1088,8617
48,051,"Burleson County, Texas",18857,44.1,9183,9674,11781,2002,4,123,0,51,620,4276
48,053,"Burnet County, Texas",52652,44.1,26015,26637,37239,656,71,359,28,129,1852,12318
48,055,"Caldwell County, Texas",48669,38.4,24553,24116,16718,2201,2,370,26,217,1407,27728
48,057,"Calhoun County, Texas",19868,41.4,10346,9522,8111,517,60,824,0,0,535,9821
48,059,"Callahan County, Texas",14241,44.1,7012,7229,11539,165,5,82,8,113,731,1598
48,061,"Cameron County, Texas",426120,32.7,210378,215742,36979,2175,342,3314,118,800,1868,380524
48,063,"Camp County, Texas",12798,38.2,6340,6458,6767,1984,0,173,0,7,363,3504
48,065,"Carson County, Texas",5801,41.0,2874,2927,4743,40,23,16,37,38,269,635
48,067,"Cass County, Texas",28568,44.4,13939,14629,21256,4632,60,200,0,131,741,1548
48,069,"Castro County, Texas",7344,34.5,3752,3592,2180,86,60,66,0,2,133,4817
48,071,"Chambers County, Texas",51498,35.1,25831,25667,31679,3867,85,779,0,52,1399,13637
48,073,"Cherokee County, Texas",51886,38.2,26389,25497,30496,6627,46,230,0,265,1800,12422
48,075,"Childress County, Texas",6743,35.9,3992,2751,3702,454,100,13,0,0,321,2153
48,077,"Clay County, Texas",10495,47.5,5248,5247,9125,103,61,84,0,4,372,746
48,079,"Cochran County, Texas",2550,37.1,1322,1228,841,125,5,0,0,3,40,1536
48,081,"Coke County, Texas",3353,47.4,1689,1664,2522,41,0,8,0,0,76,706
48,083,"Coleman County, Texas",7833,48.7,3921,3912,5988,348,2,44,0,10,144,1297
48,085,"Collin County, Texas",1163337,37.3,578956,584381,576632,125634,1838,217824,579,7038,46642,187150
48,087,"Collingsworth County, Texas",2588,40.4,1278,1310,1413,115,10,0,32,13,161,844
48,089,"Colorado County, Texas",21006,43.3,10730,10276,11178,2040,12,141,0,111,1115,6409
48,091,"Comal County, Texas",183826,41.8,91547,92279,117679,4363,197,2501,15,892,5947,52232
48,093,"Comanche County, Texas",13950,44.2,6980,6970,9232,60,32,47,0,18,451,4110
48,095,"Concho County, Texas",3328,43.0,2148,1180,1981,158,0,56,0,6,65,1062
48,097,"Cooke County, Texas",43046,40.5,21561,21485,30678,1378,111,313,0,50,1517,8999
48,099,"Coryell County, Texas",84748,32.8,42710,42038,46080,10976,221,1665,637,290,7320,17559
48,101,"Cottle County, Texas",1368,46.4,663,705,639,32,0,0,0,15,108,574
48,103,"Crane County, Texas",4610,35.0,2418,2192,1181,88,8,72,8,0,76,3177
48,105,"Crockett County, Texas",2822,42.6,1614,1208,927,7,0,0,0,0,2,1886
48,107,"Crosby County, Texas",5041,38.5,2575,2466,1937,141,0,35,0,1,90,2837
48,109,"Culberson County, Texas",2195,44.8,1188,1007,383,5,64,27,0,0,4,1712
48,111,"Dallam County, Texas",7298,29.9,4032,3266,2979,15,0,3,0,90,246,3965
48,113,"Dallas County, Texas",2621179,34.1,1300538,1320641,691299,579305,3637,183450,1117,9562,71313,1081496
48,115,"Dawson County, Texas",12134,34.8,6981,5153,4268,788,8,63,4,0,233,6770
48,117,"Deaf Smith County, Texas",18460,31.3,9531,8929,3884,147,71,0,0,0,248,14110
48,119,"Delta County, Texas",5438,40.3,2460,2978,4236,440,13,24,0,26,200,499
48,121,"Denton County, Texas",979561,37.0,485069,494492,513612,105081,1333,108215,794,5709,44170,200647
48,123,"DeWitt County, Texas",20016,42.0,10559,9457,10539,1200,41,133,0,76,884,7143
48,125,"Dickens County, Texas",1747,47.6,839,908,1098,24,0,27,8,0,17,573
48,127,"Dimmit County, Texas",8380,35.7,4484,3896,687,94,234,46,0,0,16,7303
48,129,"Donley County, Texas",3257,40.7,1542,1715,2520,168,6,83,0,17,53,410
48,131,"Duval County, Texas",9742,33.6,5113,4629,1524,69,0,117,0,0,82,7950
48,133,"Eastland County, Texas",18011,43.1,8925,9086,13853,388,52,85,7,38,479,3109
48,135,"Ector County, Texas",164654,31.4,84466,80188,47215,6901,222,1754,321,259,3452,104530
48,137,"Edwards County, Texas",1290,39.0,704,586,687,27,2,0,0,0,19,555
48,139,"Ellis County, Texas",213160,36.3,105520,107640,112230,30773,211,1760,207,1043,6874,60062
48,141,"El Paso County, Texas",870779,33.6,433123,437656,95932,26533,1971,10016,1315,2102,12752,720158
48,143,"Erath County, Texas",43794,32.0,21371,22423,31602,770,143,417,0,111,994,9757
48,145,"Falls County, Texas",17291,40.6,8114,9177,8568,3174,0,291,0,7,927,4324
48,147,"Fannin County, Texas",37326,41.0,20036,17290,28063,2200,94,184,25,338,1520,4902
48,149,"Fayette County, Texas",25042,48.2,12437,12605,17402,1406,17,69,16,29,581,5522
48,151,"Fisher County, Texas",3655,40.5,1866,1789,2347,126,4,7,0,15,133,1023
48,153,"Floyd County, Texas",5216,38.3,2549,2667,1918,105,15,10,0,0,138,3030
48,155,"Foard County, Texas",991,49.1,485,506,818,3,0,3,0,0,49,118
48,157,"Fort Bend County, Texas",893767,37.3,440165,453602,256878,183779,696,195903,472,3930,31664,220445
48,159,"Franklin County, Texas",10632,43.2,5320,5312,8184,572,18,33,0,0,258,1567
48,161,"Freestone County, Texas",20049,41.1,10500,9549,12677,2908,32,29,0,0,948,3455
48,163,"Frio County, Texas",18582,32.3,11354,7228,2705,950,21,252,7,47,139,14461
48,165,"Gaines County, Texas",22232,29.3,11287,10945,12535,460,0,124,0,27,132,8954
48,167,"Galveston County, Texas",358990,38.8,177108,181882,193684,42715,546,12059,240,1660,13417,94669
48,169,"Garza County, Texas",5118,35.4,3356,1762,1894,506,16,3,0,0,166,2533
48,171,"Gillespie County, Texas",27524,50.7,13573,13951,20252,31,17,106,45,96,670,6307
48,173,"Glasscock County, Texas",1068,39.5,599,469,707,0,0,0,0,0,73,288
48,175,"Goliad County, Texas",7141,44.6,3599,3542,4315,341,31,1,0,0,145,2308
48,177,"Gonzales County, Texas",19851,39.3,9960,9891,8064,1159,17,76,116,43,237,10139
48,179,"Gray County, Texas",21045,36.9,11251,9794,12501,950,153,179,0,201,447,6614
48,181,"Grayson County, Texas",143337,39.0,70117,73220,101885,7379,579,2168,175,685,7033,23433
48,183,"Gregg County, Texas",125480,35.9,61330,64150,68589,22080,433,1650,31,213,7137,25347
48,185,"Grimes County, Texas",31340,40.1,17099,14241,17787,3557,118,116,26,476,1262,7998
48,187,"Guadalupe County, Texas",183642,37.6,91574,92068,86315,13100,146,2712,48,1491,8131,71699
48,189,"Hale County, Texas",32131,34.4,16697,15434,10095,1447,22,147,10,155,567,19688
48,191,"Hall County, Texas",2820,44.3,1392,1428,1512,116,31,12,0,0,147,1002
48,193,"Hamilton County, Texas",8406,43.5,4161,4245,6854,165,15,3,2,8,163,1196
48,195,"Hansford County, Texas",5119,35.4,2620,2499,2408,7,29,15,8,0,80,2572
48,197,"Hardeman County, Texas",3501,44.4,1748,1753,2176,118,23,48,0,0,239,897
48,199,"Hardin County, Texas",57642,39.4,28431,29211,47504,3201,28,317,2,83,2571,3936
48,201,"Harris County, Texas",4838303,34.6,2404895,2433408,1284914,900450,4756,351368,2602,22806,144826,2126581
48,203,"Harrison County, Texas",70155,38.8,34162,35993,42448,14250,91,327,29,135,2471,10404
48,205,"Hartley County, Texas",5215,38.7,2930,2285,2948,315,9,9,13,0,295,1626
48,207,"Haskell County, Texas",5421,43.1,2966,2455,3546,321,9,10,0,0,103,1432
48,209,"Hays County, Texas",268638,34.1,133903,134735,135533,10310,171,5325,145,2744,8468,105942
48,211,"Hemphill County, Texas",3234,45.1,1787,1447,2012,76,19,0,0,1,72,1054
48,213,"Henderson County, Texas",84862,43.8,41775,43087,62680,4304,148,665,75,248,4187,12555
48,215,"Hidalgo County, Texas",891977,30.5,440466,451511,53400,5099,567,9017,190,1031,2689,819984
48,217,"Hill County, Texas",37328,41.0,18616,18712,25220,1851,46,197,0,83,1296,8635
48,219,"Hockley County, Texas",21363,35.9,10559,10804,9376,595,39,29,0,0,606,10718
48,221,"Hood County, Texas",65894,45.9,32379,33515,53225,712,226,463,32,186,1981,9069
48,223,"Hopkins County, Texas",37784,39.5,18566,19218,26619,2652,135,327,34,161,790,7066
48,225,"Houston County, Texas",22051,43.7,11891,10160,12783,4603,125,84,5,22,1242,3187
48,227,"Howard County, Texas",32290,36.7,17989,14301,13927,1468,105,319,11,61,991,15408
48,229,"Hudspeth County, Texas",3403,37.6,2119,1284,936,47,0,0,0,0,150,2270
48,231,"Hunt County, Texas",108972,36.8,53876,55096,70872,8457,360,1495,14,290,4066,23418
48,233,"Hutchinson County, Texas",20184,39.3,10081,10103,13654,434,211,127,53,72,621,5012
48,235,"Irion County, Texas",1409,40.5,705,704,963,1,40,0,0,0,17,388
