state,county,NAME,median_household_income,per_capita_income,poverty_universe,population_below_poverty,households_with_snap
48,001,"Anderson County, Texas",62068,27075,48218,8373,3161
48,003,"Andrews County, Texas",72242,37340,18419,2872,891
48,005,"Angelina County, Texas",60960,29614,84720,13351,5405
48,007,"Aransas County, Texas",69466,46039,24666,3513,1071
48,009,"Archer County, Texas",72159,40274,8808,808,227
48,011,"Armstrong County, Texas",72750,35686,1771,92,26
48,013,"Atascosa County, Texas",70770,29411,50338,7970,2725
48,015,"Austin County, Texas",75789,37650,30860,3689,1111
48,017,"Bailey County, Texas",61420,30881,6745,811,395
48,019,"Bandera County, Texas",75813,42036,21663,2918,670
48,021,"Bastrop County, Texas",86226,36637,103305,10513,2750
48,023,"Baylor County, Texas",45370,30099,3415,744,243
48,025,"Bee County, Texas",57673,24011,24074,4236,1201
48,027,"Bell County, Texas",68865,34279,376070,54547,18429
48,029,"Bexar County, Texas",72341,36702,2027961,296387,103965
48,031,"Blanco County, Texas",92425,47109,12301,1038,243
48,033,"Borden County, Texas",65625,38272,713,53,0
48,035,"Bosque County, Texas",68914,36803,18292,1700,782
48,037,"Bowie County, Texas",59803,31241,86368,13997,5109
48,039,"Brazoria County, Texas",97993,42527,377608,27893,10824
48,041,"Brazos County, Texas",58553,34320,223745,54295,7858
48,043,"Brewster County, Texas",56212,38712,9051,808,338
48,045,"Briscoe County, Texas",45417,42063,1292,217,36
48,047,"Brooks County, Texas",47764,31217,6587,1278,1062
48,049,"Brown County, Texas",57470,31180,36559,5600,1776
48,051,"Burleson County, Texas",70000,38034,18650,2367,941
48,053,"Burnet County, Texas",78732,44029,51473,4099,1531
48,055,"Caldwell County, Texas",69758,31050,46527,6133,1893
48,057,"Calhoun County, Texas",79959,44362,19612,1503,1357
48,059,"Callahan County, Texas",72436,35002,14048,1350,556
48,061,"Cameron County, Texas",52601,24089,422446,104877,34273
48,063,"Camp County, Texas",58843,31162,12727,2535,800
48,065,"Carson County, Texas",85231,42049,5711,425,101
48,067,"Cass County, Texas",53813,29660,28173,4935,1963
48,069,"Castro County, Texas",56776,26462,7243,1390,228
48,071,"Chambers County, Texas",109804,42258,51085,6054,995
48,073,"Cherokee County, Texas",61261,28734,48681,8839,2668
48,075,"Childress County, Texas",58654,28635,5311,815,162
48,077,"Clay County, Texas",80114,40172,10375,870,273
48,079,"Cochran County, Texas",45313,22752,2442,678,200
48,081,"Coke County, Texas",43333,30236,3216,735,234
48,083,"Coleman County, Texas",49159,30787,7769,1526,439
48,085,"Collin County, Texas",121600,57056,1154388,71971,12768
48,087,"Collingsworth County, Texas",61280,32344,2528,550,169
48,089,"Colorado County, Texas",66377,36990,20599,2199,757
48,091,"Comal County, Texas",101889,52350,182313,11813,3111
48,093,"Comanche County, Texas",59635,31302,13754,2223,560
48,095,"Concho County, Texas",65795,23663,2466,281,56
48,097,"Cooke County, Texas",73932,38914,42401,5737,1561
48,099,"Coryell County, Texas",71301,30066,68170,7618,3416
48,101,"Cottle County, Texas",59063,32542,1363,233,172
48,103,"Crane County, Texas",62212,29133,4454,485,63
48,105,"Crockett County, Texas",81022,32927,2767,258,0
48,107,"Crosby County, Texas",52188,31398,4935,991,466
48,109,"Culberson County, Texas",58777,26529,2177,424,232
48,111,"Dallam County, Texas",71500,26698,7261,833,301
48,113,"Dallas County, Texas",76547,42559,2588967,360341,103078
48,115,"Dawson County, Texas",54360,26655,10289,2014,791
48,117,"Deaf Smith County, Texas",60799,25625,18187,3213,810
48,119,"Delta County, Texas",66575,31723,5385,612,239
48,121,"Denton County, Texas",111498,54690,967766,68444,15679
48,123,"DeWitt County, Texas",63730,29806,18199,3203,818
48,125,"Dickens County, Texas",49335,31036,1707,307,108
48,127,"Dimmit County, Texas",38808,24227,8247,3390,774
48,129,"Donley County, Texas",58750,28379,2848,224,40
48,131,"Duval County, Texas",49038,22146,9056,3013,759
48,133,"Eastland County, Texas",53549,31299,17155,2780,851
48,135,"Ector County, Texas",71536,36118,162467,26727,8102
48,137,"Edwards County, Texas",40313,19149,1249,398,91
48,139,"Ellis County, Texas",99595,40925,210653,14539,4902
48,141,"El Paso County, Texas",59806,28486,856719,160597,57900
48,143,"Erath County, Texas",65115,32733,40379,6687,1143
48,145,"Falls County, Texas",57247,29348,15293,2250,835
48,147,"Fannin County, Texas",72295,35018,34296,4715,1314
48,149,"Fayette County, Texas",75854,43613,24569,2120,768
48,151,"Fisher County, Texas",65533,32835,3607,495,218
48,153,"Floyd County, Texas",58462,33032,5157,925,252
48,155,"Foard County, Texas",61563,34100,933,52,8
48,157,"Fort Bend County, Texas",114041,47992,886828,67161,19922
48,159,"Franklin County, Texas",72360,41630,10518,1227,241
48,161,"Freestone County, Texas",59960,30349,18582,2285,1050
48,163,"Frio County, Texas",66010,22707,16306,3182,1281
48,165,"Gaines County, Texas",74132,30645,22037,1506,539
48,167,"Galveston County, Texas",86105,44946,352806,41318,14723
48,169,"Garza County, Texas",46314,23966,3741,315,161
48,171,"Gillespie County, Texas",76162,48971,27121,2503,417
48,173,"Glasscock County, Texas",101250,52781,1068,95,45
48,175,"Goliad County, Texas",59359,36715,7046,918,293
48,177,"Gonzales County, Texas",58672,29113,19542,3091,1295
48,179,"Gray County, Texas",59614,33745,19315,3036,1107
48,181,"Grayson County, Texas",72182,38174,140436,15664,4565
48,183,"Gregg County, Texas",66550,33893,121689,19597,6530
48,185,"Grimes County, Texas",69803,32583,27762,4044,1420
48,187,"Guadalupe County, Texas",92375,40669,181649,16914,5919
48,189,"Hale County, Texas",51897,26080,30162,6194,2532
48,191,"Hall County, Texas",48459,26348,2775,451,163
48,193,"Hamilton County, Texas",58219,35419,8180,1347,401
48,195,"Hansford County, Texas",69441,36375,5048,433,52
48,197,"Hardeman County, Texas",63333,31927,3427,366,168
48,199,"Hardin County, Texas",75808,37440,57095,6902,2866
48,201,"Harris County, Texas",74983,41006,4786324,777921,235477
48,203,"Harrison County, Texas",66103,32485,67667,10574,3371
48,205,"Hartley County, Texas",75841,32333,3817,358,131
48,207,"Haskell County, Texas",60653,40011,5226,865,328
48,209,"Hays County, Texas",89097,44565,260378,31591,5032
48,211,"Hemphill County, Texas",61563,37488,3182,197,135
48,213,"Henderson County, Texas",65179,34448,83393,12286,4306
48,215,"Hidalgo County, Texas",54338,23117,883207,235512,75177
48,217,"Hill County, Texas",64591,32052,36541,5363,1535
48,219,"Hockley County, Texas",63140,32179,20814,2719,946
48,221,"Hood County, Texas",88160,43607,64987,4978,1166
48,223,"Hopkins County, Texas",70888,34712,37224,4421,1041
48,225,"Houston County, Texas",56531,29000,19385,2914,1425
48,227,"Howard County, Texas",69649,34939,28984,4006,1511
48,229,"Hudspeth County, Texas",48600,20866,2929,508,173
48,231,"Hunt County, Texas",71938,33010,105429,12424,4508
48,233,"Hutchinson County, Texas",67228,32722,19904,2652,478
48,235,"Irion County, Texas",70357,39533,1409,152,23
48,237,"Jack County, Texas",68079,31491,7806,1011,316
48,239,"Jackson County, Texas",65414,33242,14951,2101,1101
48,241,"Jasper County, Texas",56723,32535,31431,6520,2161
48,243,"Jeff Davis County, Texas",59286,50105,1850,442,53
48,245,"Jefferson County, Texas",60026,32101,238359,46448,16008
48,247,"Jim Hogg County, Texas",42211,19707,4617,1451,394
48,249,"Jim Wells County, Texas",51896,26585,38498,9492,3190
48,251,"Johnson County, Texas",84859,35637,192263,19224,5079
48,253,"Jones County, Texas",59464,24595,14483,2035,871
48,255,"Karnes County, Texas",60214,31304,11611,2223,998
48,257,"Kaufman County, Texas",89485,34359,170891,16548,5054
48,259,"Kendall County, Texas",114962,58970,47818,2405,795
48,261,"Kenedy County, Texas",38882,22892,144,22,1
48,263,"Kent County, Texas",72889,38774,680,67,53
48,265,"Kerr County, Texas",69395,40492,51367,5834,1452
48,267,"Kimble County, Texas",69455,39915,4323,505,232
48,269,"King County, Texas",46645,31129,211,50,0
48,271,"Kinney County, Texas",70000,30926,2814,236,174
48,273,"Kleberg County, Texas",61292,26395,28749,8077,2531
48,275,"Knox County, Texas",56667,26665,3189,502,175
48,277,"Lamar County, Texas",61880,33256,49872,9460,2494
48,279,"Lamb County, Texas",60760,28888,12556,1887,666
48,281,"Lampasas County, Texas",81736,38395,22500,2052,733
48,283,"La Salle County, Texas",57716,18745,5698,1222,229
48,285,"Lavaca County, Texas",63240,35997,20119,2304,705
48,287,"Lee County, Texas",76371,35518,17524,1986,829
48,289,"Leon County, Texas",61449,33192,16183,2654,551
48,291,"Liberty County, Texas",68703,27195,97711,18229,5190
48,293,"Limestone County, Texas",60573,28496,21500,3669,1390
48,295,"Lipscomb County, Texas",72560,32221,2861,328,61
48,297,"Live Oak County, Texas",57150,29903,10063,1717,718
48,299,"Llano County, Texas",67530,51844,22175,2662,811
48,301,"Loving County, Texas",51250,53812,33,2,2
48,303,"Lubbock County, Texas",64155,35808,306150,52494,13478
48,305,"Lynn County, Texas",73679,37797,5701,867,256
48,307,"McCulloch County, Texas",54043,34124,7363,1129,405
48,309,"McLennan County, Texas",66643,35149,256700,42565,11783
48,311,"McMullen County, Texas",43875,22183,700,86,8
48,313,"Madison County, Texas",74596,28258,11393,1241,447
48,315,"Marion County, Texas",49672,30729,9622,1763,863
48,317,"Martin County, Texas",93734,43083,5145,428,194
48,319,"Mason County, Texas",74180,34261,3947,276,80
48,321,"Matagorda County, Texas",58628,32494,35957,7453,2628
48,323,"Maverick County, Texas",49568,21211,57580,13119,5191
48,325,"Medina County, Texas",78074,32983,51049,4918,1902
48,327,"Menard County, Texas",53043,34742,1909,360,86
48,329,"Midland County, Texas",92874,49746,173205,19655,4750
48,331,"Milam County, Texas",66141,35880,25039,3241,1135
48,333,"Mills County, Texas",67620,37094,4320,311,238
48,335,"Mitchell County, Texas",60550,28978,7622,1052,357
48,337,"Montague County, Texas",64545,33660,20767,2947,837
48,339,"Montgomery County, Texas",97701,49479,680151,64224,16304
48,341,"Moore County, Texas",61762,27480,21154,3867,616
48,343,"Morris County, Texas",58645,27778,11834,2303,665
48,345,"Motley County, Texas",61154,29921,1183,190,58
48,347,"Nacogdoches County, Texas",53555,29987,60090,13099,4205
48,349,"Navarro County, Texas",63111,29060,53199,9106,2635
48,351,"Newton County, Texas",42618,28212,11921,2260,687
48,353,"Nolan County, Texas",50747,32182,14061,3165,1160
48,355,"Nueces County, Texas",66897,34626,345578,60147,22892
48,357,"Ochiltree County, Texas",70183,34056,9714,1151,184
48,359,"Oldham County, Texas",79900,29189,1755,363,8
48,361,"Orange County, Texas",72104,37518,84456,10594,4455
48,363,"Palo Pinto County, Texas",67674,32739,29008,4858,1679
48,365,"Panola County, Texas",64894,36331,22290,2495,969
48,367,"Parker County, Texas",104443,47117,163184,13026,2873
48,369,"Parmer County, Texas",69735,30288,9611,977,159
48,371,"Pecos County, Texas",72750,33205,12708,2741,705
48,373,"Polk County, Texas",62259,30198,48887,8538,3170
48,375,"Potter County, Texas",53249,28703,109370,22778,6211
48,377,"Presidio County, Texas",43802,23915,5925,1896,426
48,379,"Rains County, Texas",65413,36456,12697,1268,542
48,381,"Randall County, Texas",83864,43287,143256,13930,3917
48,383,"Reagan County, Texas",57813,29439,3224,380,62
48,385,"Real County, Texas",39605,28467,2708,484,163
48,387,"Red River County, Texas",48491,29753,11429,1785,938
48,389,"Reeves County, Texas",64297,28499,11680,1957,735
48,391,"Refugio County, Texas",60181,28082,6550,958,352
48,393,"Roberts County, Texas",67868,31964,832,47,11
48,395,"Robertson County, Texas",72236,34488,16957,2291,1048
48,397,"Rockwall County, Texas",127981,55374,122551,4949,1759
48,399,"Runnels County, Texas",62632,31622,9651,1060,414
48,401,"Rusk County, Texas",68658,33876,47865,6899,2012
48,403,"Sabine County, Texas",66585,38857,9874,1088,691
48,405,"San Augustine County, Texas",50408,26866,7628,2070,689
48,407,"San Jacinto County, Texas",65364,30859,28025,5148,1862
48,409,"San Patricio County, Texas",69704,32909,69345,10250,3623
48,411,"San Saba County, Texas",55819,30349,5087,546,198
48,413,"Schleicher County, Texas",86694,37496,2358,234,70
48,415,"Scurry County, Texas",60039,29633,14591,1692,471
48,417,"Shackelford County, Texas",73047,35110,3139,299,107
48,419,"Shelby County, Texas",49776,27652,23887,4917,1474
48,421,"Sherman County, Texas",61250,42621,2259,234,37
48,423,"Smith County, Texas",74192,35679,234771,27158,7560
48,425,"Somervell County, Texas",79825,40828,9530,716,203
48,427,"Starr County, Texas",37639,18829,65584,21981,8146
48,429,"Stephens County, Texas",58008,29709,8828,1293,374
48,431,"Sterling County, Texas",64954,29196,1434,62,48
48,433,"Stonewall County, Texas",56875,44681,1181,176,41
48,435,"Sutton County, Texas",78906,35859,3260,147,85
48,437,"Swisher County, Texas",36165,22512,6316,1901,328
48,439,"Tarrant County, Texas",84207,42755,2136011,237215,74867
48,441,"Taylor County, Texas",67139,34253,139904,20529,6088
48,443,"Terrell County, Texas",44886,35515,835,64,16
48,445,"Terry County, Texas",44100,24113,10860,1991,1146
48,447,"Throckmorton County, Texas",59216,35769,1639,397,78
48,449,"Titus County, Texas",58425,27244,31076,5314,2159
48,451,"Tom Green County, Texas",68370,35866,114838,12762,4490
48,453,"Travis County, Texas",99611,62607,1304589,142566,32506
