state,county,NAME,population_25_plus,bachelors,masters,professional,doctorate
48,001,"Anderson County, Texas",42299,4614,1373,297,227
48,003,"Andrews County, Texas",11259,1634,245,28,84
48,005,"Angelina County, Texas",57523,6488,3173,446,215
48,007,"Aransas County, Texas",19444,4068,1146,298,90
48,009,"Archer County, Texas",6339,1132,362,40,74
48,011,"Armstrong County, Texas",1299,220,109,14,10
48,013,"Atascosa County, Texas",32769,3895,909,259,98
48,015,"Austin County, Texas",21482,3957,1097,206,126
48,017,"Bailey County, Texas",4243,488,82,72,3
48,019,"Bandera County, Texas",17205,2878,1419,199,190
48,021,"Bastrop County, Texas",69598,11143,4205,994,1054
48,023,"Baylor County, Texas",2556,499,72,44,32
48,025,"Bee County, Texas",21261,2014,722,91,143
48,027,"Bell County, Texas",239452,43426,16296,3300,2020
48,029,"Bexar County, Texas",1349274,263431,119010,27763,19466
48,031,"Blanco County, Texas",9702,2499,699,155,82
48,033,"Borden County, Texas",431,117,39,3,0
48,035,"Bosque County, Texas",13479,1805,688,108,145
48,037,"Bowie County, Texas",62425,9239,4185,844,478
48,039,"Brazoria County, Texas",258565,52809,24035,4152,4681
48,041,"Brazos County, Texas",129071,30780,14604,2483,7645
48,043,"Brewster County, Texas",7214,2043,950,162,125
48,045,"Briscoe County, Texas",978,189,32,5,0
48,047,"Brooks County, Texas",4964,649,175,13,5
48,049,"Brown County, Texas",27106,3931,1190,153,193
48,051,"Burleson County, Texas",13559,2161,790,208,23
48,053,"Burnet County, Texas",38017,7228,2491,750,381
48,055,"Caldwell County, Texas",32591,4501,1465,204,134
48,057,"Calhoun County, Texas",13846,1727,808,46,196
48,059,"Callahan County, Texas",10018,1753,614,20,17
48,061,"Cameron County, Texas",257360,38820,13763,2970,1266
48,063,"Camp County, Texas",8329,1348,380,79,46
48,065,"Carson County, Texas",3926,656,352,14,13
48,067,"Cass County, Texas",20234,2621,914,56,235
48,069,"Castro County, Texas",4468,662,142,11,16
48,071,"Chambers County, Texas",32652,5378,1304,265,215
48,073,"Cherokee County, Texas",34679,4377,1745,234,212
48,075,"Childress County, Texas",4770,405,105,39,16
48,077,"Clay County, Texas",7755,1295,326,91,22
48,079,"Cochran County, Texas",1591,105,26,0,0
48,081,"Coke County, Texas",2464,409,123,22,12
48,083,"Coleman County, Texas",5694,753,155,25,25
48,085,"Collin County, Texas",775100,264674,136526,19905,14631
48,087,"Collingsworth County, Texas",1735,307,90,19,28
48,089,"Colorado County, Texas",14508,2279,839,160,49
48,091,"Comal County, Texas",129685,36823,14761,2548,2082
48,093,"Comanche County, Texas",9703,1391,590,55,37
