state,county,NAME,population_16_plus,labor_force,employed,unemployed
48,001,"Anderson County, Texas",48633,22462,21125,1337
48,003,"Andrews County, Texas",13509,8947,8650,297
48,005,"Angelina County, Texas",67755,39764,37224,2540
48,007,"Aransas County, Texas",21362,10758,10318,440
48,009,"Archer County, Texas",7146,4245,4116,129
48,011,"Armstrong County, Texas",1491,887,876,11
48,013,"Atascosa County, Texas",39300,22186,21278,908
48,015,"Austin County, Texas",24809,15005,14353,652
48,017,"Bailey County, Texas",5260,2791,2791,0
48,019,"Bandera County, Texas",18800,10271,9373,898
48,021,"Bastrop County, Texas",82454,50811,48638,2173
48,023,"Baylor County, Texas",2809,1513,1445,68
48,025,"Bee County, Texas",25604,11751,11139,612
48,027,"Bell County, Texas",292070,170572,159028,11544
48,029,"Bexar County, Texas",1615625,1039159,979044,60115
48,031,"Blanco County, Texas",10539,5976,5622,354
48,033,"Borden County, Texas",494,299,298,1
48,035,"Bosque County, Texas",15403,7987,7701,286
48,037,"Bowie County, Texas",72768,40054,38280,1774
48,039,"Brazoria County, Texas",303657,192762,183737,9025
48,041,"Brazos County, Texas",198831,124122,118263,5859
48,043,"Brewster County, Texas",8004,4807,4661,146
48,045,"Briscoe County, Texas",1072,586,580,6
48,047,"Brooks County, Texas",5545,3204,2565,639
48,049,"Brown County, Texas",31453,17774,16838,936
48,051,"Burleson County, Texas",15166,8795,8359,436
48,053,"Burnet County, Texas",43286,25473,24804,669
48,055,"Caldwell County, Texas",38808,22833,22054,779
48,057,"Calhoun County, Texas",15911,10537,9760,777
48,059,"Callahan County, Texas",11507,6848,6525,323
48,061,"Cameron County, Texas",319135,184980,174043,10937
48,063,"Camp County, Texas",9790,5757,5430,327
48,065,"Carson County, Texas",4629,2969,2934,35
48,067,"Cass County, Texas",22942,11740,10990,750
48,069,"Castro County, Texas",5349,3473,3343,130
48,071,"Chambers County, Texas",38793,25419,23571,1848
48,073,"Cherokee County, Texas",40215,21577,20454,1123
48,075,"Childress County, Texas",5561,2563,2549,14
48,077,"Clay County, Texas",8664,5226,5124,102
48,079,"Cochran County, Texas",1941,1123,1069,54
48,081,"Coke County, Texas",2729,1434,1354,80
48,083,"Coleman County, Texas",6394,3428,3165,263
48,085,"Collin County, Texas",910892,642253,615475,26778
48,087,"Collingsworth County, Texas",1931,1256,1242,14
48,089,"Colorado County, Texas",16698,9459,9187,272
48,091,"Comal County, Texas",148206,92240,88606,3634
48,093,"Comanche County, Texas",11235,6783,6362,421
48,095,"Concho County, Texas",3000,1308,1288,20
48,097,"Cooke County, Texas",34263,21765,20790,975
48,099,"Coryell County, Texas",67508,27003,25089,1914
48,101,"Cottle County, Texas",1125,651,569,82
48,103,"Crane County, Texas",3377,1817,1734,83
48,105,"Crockett County, Texas",2301,1395,1353,42
48,107,"Crosby County, Texas",3949,2389,2192,197
48,109,"Culberson County, Texas",1687,833,823,10
48,111,"Dallam County, Texas",5076,3714,3627,87
48,113,"Dallas County, Texas",2039498,1402301,1332255,70046
48,115,"Dawson County, Texas",9481,4881,4569,312
48,117,"Deaf Smith County, Texas",13214,8689,8389,300
48,119,"Delta County, Texas",4291,2476,2370,106
48,121,"Denton County, Texas",778477,558826,536382,22444
48,123,"DeWitt County, Texas",15991,8327,8017,310
48,125,"Dickens County, Texas",1438,790,717,73
48,127,"Dimmit County, Texas",6463,2982,2731,251
48,129,"Donley County, Texas",2749,1430,1406,24
48,131,"Duval County, Texas",7496,3561,3170,391
48,133,"Eastland County, Texas",14615,8267,7879,388
48,135,"Ector County, Texas",119739,80130,75416,4714
48,137,"Edwards County, Texas",994,536,536,0
48,139,"Ellis County, Texas",163788,111446,106481,4965
48,141,"El Paso County, Texas",670154,400191,376169,24022
48,143,"Erath County, Texas",35827,22731,21437,1294
48,145,"Falls County, Texas",14020,6899,6488,411
48,147,"Fannin County, Texas",30548,16791,15953,838
48,149,"Fayette County, Texas",20611,11631,11367,264
48,151,"Fisher County, Texas",2897,1694,1615,79
48,153,"Floyd County, Texas",4014,2432,2285,147
48,155,"Foard County, Texas",854,543,509,34
48,157,"Fort Bend County, Texas",684154,455656,432634,23022
48,159,"Franklin County, Texas",8549,4966,4748,218
48,161,"Freestone County, Texas",15984,7855,7616,239
48,163,"Frio County, Texas",14835,7671,7244,427
48,165,"Gaines County, Texas",15290,9327,9100,227
48,167,"Galveston County, Texas",283950,180394,170117,10277
48,169,"Garza County, Texas",4423,1918,1698,220
48,171,"Gillespie County, Texas",22825,12521,12180,341
48,173,"Glasscock County, Texas",872,512,508,4
48,175,"Goliad County, Texas",5821,2953,2798,155
48,177,"Gonzales County, Texas",15390,9135,8741,394
48,179,"Gray County, Texas",16531,9522,8992,530
48,181,"Grayson County, Texas",113026,70551,68353,2198
48,183,"Gregg County, Texas",96921,59386,57246,2140
48,185,"Grimes County, Texas",24973,12719,12075,644
48,187,"Guadalupe County, Texas",144904,91345,86994,4351
48,189,"Hale County, Texas",24640,14535,13768,767
48,191,"Hall County, Texas",2264,1250,1137,113
48,193,"Hamilton County, Texas",6814,3681,3481,200
48,195,"Hansford County, Texas",3824,2613,2451,162
48,197,"Hardeman County, Texas",2822,1782,1739,43
48,199,"Hardin County, Texas",45105,26297,24868,1429
48,201,"Harris County, Texas",3731733,2512311,2343196,169115
48,203,"Harrison County, Texas",55650,33534,31669,1865
48,205,"Hartley County, Texas",4118,1760,1731,29
48,207,"Haskell County, Texas",4546,2684,2553,131
48,209,"Hays County, Texas",214923,147110,140594,6516
48,211,"Hemphill County, Texas",2654,1604,1510,94
48,213,"Henderson County, Texas",68888,37219,35393,1826
48,215,"Hidalgo County, Texas",648434,382422,353316,29106
48,217,"Hill County, Texas",29637,16813,16108,705
48,219,"Hockley County, Texas",16243,10087,9617,470
48,221,"Hood County, Texas",54180,30543,28823,1720
48,223,"Hopkins County, Texas",29675,18199,17470,729
48,225,"Houston County, Texas",18164,8075,7533,542
48,227,"Howard County, Texas",25808,14264,13498,766
48,229,"Hudspeth County, Texas",2993,1446,1330,116
48,231,"Hunt County, Texas",85453,52712,49593,3119
48,233,"Hutchinson County, Texas",15742,9283,8949,334
48,235,"Irion County, Texas",1129,691,688,3
48,237,"Jack County, Texas",7125,3455,3124,331
48,239,"Jackson County, Texas",11948,6529,6184,345
48,241,"Jasper County, Texas",26049,13913,12068,1845
48,243,"Jeff Davis County, Texas",1549,767,767,0
48,245,"Jefferson County, Texas",197877,110898,103897,7001
48,247,"Jim Hogg County, Texas",3303,1918,1797,121
48,249,"Jim Wells County, Texas",29529,16387,15388,999
48,251,"Johnson County, Texas",151441,96736,93233,3503
48,253,"Jones County, Texas",17288,6995,6608,387
48,255,"Karnes County, Texas",12317,5509,5347,162
48,257,"Kaufman County, Texas",128206,87474,82832,4642
48,259,"Kendall County, Texas",39169,23310,22206,1104
48,261,"Kenedy County, Texas",125,56,56,0
48,263,"Kent County, Texas",654,295,270,25
48,265,"Kerr County, Texas",45030,24951,24129,822
48,267,"Kimble County, Texas",3747,2050,2024,26
48,269,"King County, Texas",180,100,100,0
48,271,"Kinney County, Texas",2931,1612,1597,15
48,273,"Kleberg County, Texas",23974,14282,13184,1098
48,275,"Knox County, Texas",2540,1485,1466,19
48,277,"Lamar County, Texas",39792,23915,22948,967
48,279,"Lamb County, Texas",9791,5873,5752,121
48,281,"Lampasas County, Texas",18431,9779,9341,438
48,283,"La Salle County, Texas",5710,2257,2216,41
48,285,"Lavaca County, Texas",16267,9630,9336,294
48,287,"Lee County, Texas",14631,8770,8199,571
48,289,"Leon County, Texas",12893,6596,6321,275
48,291,"Liberty County, Texas",75797,41574,38617,2957
48,293,"Limestone County, Texas",17794,8808,8480,328
