state,county,NAME,housing_units,occupied_housing_units,vacant_housing_units,owner_occupied_units,renter_occupied_units,median_home_value,median_gross_rent,average_household_size
48,001,"Anderson County, Texas",20648,17579,3069,12716,4863,185300,1041,2.73
48,003,"Andrews County, Texas",7153,6844,309,5374,1470,195700,1305,2.69
48,005,"Angelina County, Texas",37023,32271,4752,20650,11621,163500,1076,2.6
48,007,"Aransas County, Texas",15999,12478,3521,9578,2900,265400,1128,1.97
48,009,"Archer County, Texas",3966,3468,498,2929,539,189100,770,2.54
48,011,"Armstrong County, Texas",886,767,119,615,152,171500,1021,2.31
48,013,"Atascosa County, Texas",19214,16786,2428,12986,3800,174800,1061,3.01
48,015,"Austin County, Texas",14319,12128,2191,9279,2849,296900,1137,2.55
48,017,"Bailey County, Texas",2740,2209,531,1765,444,105300,931,3.06
48,019,"Bandera County, Texas",11585,9255,2330,7949,1306,278400,1149,2.34
48,021,"Bastrop County, Texas",39706,36868,2838,28186,8682,314800,1410,2.81
48,023,"Baylor County, Texas",2190,1530,660,1013,517,103100,581,2.23
48,025,"Bee County, Texas",10650,8807,1843,6237,2570,111300,1065,2.76
48,027,"Bell County, Texas",155018,142305,12713,80418,61887,241000,1224,2.65
48,029,"Bexar County, Texas",820780,750939,69841,441921,309018,262200,1354,2.7
48,031,"Blanco County, Texas",6129,5166,963,3938,1228,483500,1017,2.38
48,033,"Borden County, Texas",368,243,125,161,82,108900,-666666666,2.93
48,035,"Bosque County, Texas",9348,7496,1852,5684,1812,200900,928,2.45
48,037,"Bowie County, Texas",39948,35073,4875,22253,12820,173000,988,2.46
48,039,"Brazoria County, Texas",150321,133898,16423,99275,34623,301600,1454,2.82
48,041,"Brazos County, Texas",100826,91087,9739,42666,48421,296000,1193,2.46
48,043,"Brewster County, Texas",5917,4951,966,3094,1857,227000,839,1.82
48,045,"Briscoe County, Texas",849,553,296,458,95,90300,631,2.35
48,047,"Brooks County, Texas",3884,2977,907,1572,1405,81000,719,2.22
48,049,"Brown County, Texas",19246,14972,4274,10223,4749,158900,919,2.45
48,051,"Burleson County, Texas",9579,7900,1679,6456,1444,191000,1063,2.35
48,053,"Burnet County, Texas",25555,20969,4586,16000,4969,344000,1319,2.46
48,055,"Caldwell County, Texas",17582,16647,935,12537,4110,240500,1173,2.74
48,057,"Calhoun County, Texas",10833,8670,2163,6699,1971,171200,891,2.26
48,059,"Callahan County, Texas",6539,5239,1300,4240,999,145500,817,2.7
48,061,"Cameron County, Texas",159679,138433,21246,90278,48155,136500,912,3.05
48,063,"Camp County, Texas",5824,4817,1007,3733,1084,173100,801,2.64
48,065,"Carson County, Texas",2810,2293,517,1816,477,143000,956,2.5
48,067,"Cass County, Texas",13993,11805,2188,9041,2764,146400,852,2.39
48,069,"Castro County, Texas",3024,2413,611,1534,879,95000,896,3.0
48,071,"Chambers County, Texas",18937,17229,1708,14052,3177,329500,1609,2.97
48,073,"Cherokee County, Texas",21053,18185,2868,13453,4732,169300,933,2.68
48,075,"Childress County, Texas",2772,1838,934,1305,533,125400,913,2.89
48,077,"Clay County, Texas",5163,4289,874,3602,687,171500,811,2.43
48,079,"Cochran County, Texas",1268,922,346,596,326,53200,697,2.54
48,081,"Coke County, Texas",2144,1594,550,1134,460,117900,729,2.02
48,083,"Coleman County, Texas",4899,3343,1556,2580,763,92500,653,2.33
48,085,"Collin County, Texas",437396,416646,20750,268813,147833,475600,1859,2.77
48,087,"Collingsworth County, Texas",1487,975,512,720,255,104000,714,2.6
48,089,"Colorado County, Texas",10102,7937,2165,6311,1626,209800,926,2.6
48,091,"Comal County, Texas",77961,71354,6607,54667,16687,427200,1603,2.56
48,093,"Comanche County, Texas",6940,5355,1585,4308,1047,155600,855,2.57
48,095,"Concho County, Texas",1414,814,600,655,159,107400,733,3.03
48,097,"Cooke County, Texas",17944,16528,1416,11873,4655,240400,1047,2.57
48,099,"Coryell County, Texas",29512,26986,2526,15803,11183,195300,1186,2.53
48,101,"Cottle County, Texas",930,577,353,480,97,59300,264,2.36
48,103,"Crane County, Texas",1840,1632,208,1367,265,129400,882,2.75
48,105,"Crockett County, Texas",1729,1225,504,903,322,-666666666,558,2.26
48,107,"Crosby County, Texas",2659,1929,730,1328,601,80900,684,2.57
48,109,"Culberson County, Texas",1097,868,229,609,259,79300,1043,2.49
48,111,"Dallam County, Texas",3052,2586,466,1654,932,151400,1081,2.81
48,113,"Dallas County, Texas",1064965,982737,82228,498911,483826,303000,1565,2.63
48,115,"Dawson County, Texas",4903,4043,860,2856,1187,103400,777,2.53
48,117,"Deaf Smith County, Texas",6984,6051,933,4043,2008,121300,926,3.02
48,119,"Delta County, Texas",2450,2173,277,1800,373,164300,945,2.48
48,121,"Denton County, Texas",376754,360392,16362,235923,124469,437200,1728,2.68
48,123,"DeWitt County, Texas",9238,6921,2317,5116,1805,170900,921,2.63
48,125,"Dickens County, Texas",1151,727,424,578,149,65300,758,2.35
48,127,"Dimmit County, Texas",4023,2998,1025,1995,1003,85500,823,2.74
48,129,"Donley County, Texas",1951,1180,771,883,297,96400,780,2.41
48,131,"Duval County, Texas",4420,3053,1367,2149,904,89400,741,2.99
48,133,"Eastland County, Texas",9384,7236,2148,5180,2056,134800,866,2.36
48,135,"Ector County, Texas",68899,64563,4336,41753,22810,200200,1259,2.52
48,137,"Edwards County, Texas",815,404,411,355,49,-666666666,713,3.09
48,139,"Ellis County, Texas",75422,71759,3663,54389,17370,348600,1594,2.94
48,141,"El Paso County, Texas",323571,299637,23934,192456,107181,180400,1079,2.86
48,143,"Erath County, Texas",18694,16816,1878,10619,6197,269100,1146,2.39
48,145,"Falls County, Texas",7450,6344,1106,4851,1493,110900,731,2.42
48,147,"Fannin County, Texas",14814,12767,2047,10051,2716,233700,1035,2.69
